Instance;Alpha_Depart;Mode;Runs;Taille_Clique;Temps_ms
C/C500.9.clq;0.01;Adaptatif;10;51;18453.1
C/C500.9.clq;0.05;Fixe;1;50;653.088
C/C500.9.clq;0.05;Adaptatif;1;50;1488.88
C/C500.9.clq;0.05;Fixe;10;50;6690.87
C/C500.9.clq;0.05;Adaptatif;10;50;15822.8
C/C500.9.clq;0.1;Fixe;1;50;656.442
C/C500.9.clq;0.1;Adaptatif;1;49;1412.85
C/C500.9.clq;0.1;Fixe;10;50;6641.54
C/C500.9.clq;0.1;Adaptatif;10;50;15786
C/C1000.9.clq;0.01;Fixe;1;57;2624.75
C/C1000.9.clq;0.01;Adaptatif;1;59;9681.04
C/C1000.9.clq;0.01;Fixe;10;59;26406.9
C/C1000.9.clq;0.01;Adaptatif;10;59;80205.6
C/C1000.9.clq;0.05;Fixe;1;57;2593.36
C/C1000.9.clq;0.05;Adaptatif;1;57;6138.88
C/C1000.9.clq;0.05;Fixe;10;59;25793.4
C/C1000.9.clq;0.05;Adaptatif;10;59;70397.3
C/C1000.9.clq;0.1;Fixe;1;57;2705.53
C/C1000.9.clq;0.1;Adaptatif;1;61;8494.42
C/C1000.9.clq;0.1;Fixe;10;59;26454.4
C/C1000.9.clq;0.1;Adaptatif;10;61;69054.2
C/C2000.5.clq;0;SKIP;0;0;0;SKIP_TOO_LARGE
C/C2000.9.clq;0;SKIP;0;0;0;SKIP_TOO_LARGE
C/C4000.5.clq;0;SKIP;0;0;0;SKIP_TOO_LARGE
c-fat/c-fat200-1.clq;0.01;Fixe;1;12;82.8985
c-fat/c-fat200-1.clq;0.01;Adaptatif;1;12;222.543
c-fat/c-fat200-1.clq;0.01;Fixe;10;12;846.293
c-fat/c-fat200-1.clq;0.01;Adaptatif;10;12;2163.22
c-fat/c-fat200-1.clq;0.05;Fixe;1;12;86.9227
c-fat/c-fat200-1.clq;0.05;Adaptatif;1;12;184.246
c-fat/c-fat200-1.clq;0.05;Fixe;10;12;854.038
c-fat/c-fat200-1.clq;0.05;Adaptatif;10;12;1882.88
c-fat/c-fat200-1.clq;0.1;Fixe;1;12;84.8873
c-fat/c-fat200-1.clq;0.1;Adaptatif;1;12;175.087
c-fat/c-fat200-1.clq;0.1;Fixe;10;12;859.988
c-fat/c-fat200-1.clq;0.1;Adaptatif;10;12;1778.93
c-fat/c-fat200-2.clq;0.01;Fixe;1;22;87.3887
c-fat/c-fat200-2.clq;0.01;Adaptatif;1;22;221.766
c-fat/c-fat200-2.clq;0.01;Fixe;10;24;926.174
c-fat/c-fat200-2.clq;0.01;Adaptatif;10;24;2251.46
c-fat/c-fat200-2.clq;0.05;Fixe;1;22;90.9477
c-fat/c-fat200-2.clq;0.05;Adaptatif;1;22;193.882
c-fat/c-fat200-2.clq;0.05;Fixe;10;24;904.767
c-fat/c-fat200-2.clq;0.05;Adaptatif;10;24;1945.49
c-fat/c-fat200-2.clq;0.1;Fixe;1;22;87.7506
c-fat/c-fat200-2.clq;0.1;Adaptatif;1;22;181.016
c-fat/c-fat200-2.clq;0.1;Fixe;10;24;894.923
c-fat/c-fat200-2.clq;0.1;Adaptatif;10;24;1853.17
c-fat/c-fat200-5.clq;0.01;Fixe;1;58;101.491
c-fat/c-fat200-5.clq;0.01;Adaptatif;1;58;235.652
c-fat/c-fat200-5.clq;0.01;Fixe;10;58;1047.32
c-fat/c-fat200-5.clq;0.01;Adaptatif;10;58;2374.1
c-fat/c-fat200-5.clq;0.05;Fixe;1;58;119.364
c-fat/c-fat200-5.clq;0.05;Adaptatif;1;58;230.29
c-fat/c-fat200-5.clq;0.05;Fixe;10;58;1122.17
c-fat/c-fat200-5.clq;0.05;Adaptatif;10;58;2232.57
c-fat/c-fat200-5.clq;0.1;Fixe;1;58;104.046
c-fat/c-fat200-5.clq;0.1;Adaptatif;1;58;200.622
c-fat/c-fat200-5.clq;0.1;Fixe;10;58;1042.5
c-fat/c-fat200-5.clq;0.1;Adaptatif;10;58;2000.58
c-fat/c-fat500-1.clq;0.01;Fixe;1;12;499.944
c-fat/c-fat500-1.clq;0.01;Adaptatif;1;12;1236.73
c-fat/c-fat500-1.clq;0.01;Fixe;10;14;5108.07
c-fat/c-fat500-1.clq;0.01;Adaptatif;10;14;13192.5
c-fat/c-fat500-1.clq;0.05;Fixe;1;12;507.008
c-fat/c-fat500-1.clq;0.05;Adaptatif;1;12;1129.07
c-fat/c-fat500-1.clq;0.05;Fixe;10;14;5120.01
c-fat/c-fat500-1.clq;0.05;Adaptatif;10;14;11276.3
c-fat/c-fat500-1.clq;0.1;Fixe;1;12;505.523
c-fat/c-fat500-1.clq;0.1;Adaptatif;1;12;1057.37
c-fat/c-fat500-1.clq;0.1;Fixe;10;14;5064.18
c-fat/c-fat500-1.clq;0.1;Adaptatif;10;14;10588.4
c-fat/c-fat500-2.clq;0.01;Fixe;1;24;501.891
c-fat/c-fat500-2.clq;0.01;Adaptatif;1;24;1306.27
c-fat/c-fat500-2.clq;0.01;Fixe;10;26;5151.99
c-fat/c-fat500-2.clq;0.01;Adaptatif;10;26;13264
c-fat/c-fat500-2.clq;0.05;Fixe;1;24;510.102
c-fat/c-fat500-2.clq;0.05;Adaptatif;1;24;1112.54
c-fat/c-fat500-2.clq;0.05;Fixe;10;26;5152.07
c-fat/c-fat500-2.clq;0.05;Adaptatif;10;26;11509.3
c-fat/c-fat500-2.clq;0.1;Fixe;1;24;514.125
c-fat/c-fat500-2.clq;0.1;Adaptatif;1;24;1109.35
c-fat/c-fat500-2.clq;0.1;Fixe;10;26;5163.53
c-fat/c-fat500-2.clq;0.1;Adaptatif;10;26;10828.2
c-fat/c-fat500-5.clq;0.01;Fixe;1;63;530.052
c-fat/c-fat500-5.clq;0.01;Adaptatif;1;63;1342.26
c-fat/c-fat500-5.clq;0.01;Fixe;10;64;5409.76
c-fat/c-fat500-5.clq;0.01;Adaptatif;10;64;14234.4
c-fat/c-fat500-5.clq;0.05;Fixe;1;63;534.915
c-fat/c-fat500-5.clq;0.05;Adaptatif;1;63;1195.39
c-fat/c-fat500-5.clq;0.05;Fixe;10;64;5502.34
c-fat/c-fat500-5.clq;0.05;Adaptatif;10;64;12152
c-fat/c-fat500-5.clq;0.1;Fixe;1;63;561.238
c-fat/c-fat500-5.clq;0.1;Adaptatif;1;62;1098.83
c-fat/c-fat500-5.clq;0.1;Fixe;10;64;5413.07
c-fat/c-fat500-5.clq;0.1;Adaptatif;10;64;11144.3
c-fat/c-fat500-10.clq;0.01;Fixe;1;125;592.165
c-fat/c-fat500-10.clq;0.01;Adaptatif;1;125;1459.83
c-fat/c-fat500-10.clq;0.01;Fixe;10;126;5927.03
c-fat/c-fat500-10.clq;0.01;Adaptatif;10;126;15217
