Instance;Probleme;Algorithme;Score;Temps_ms;Statut
san/san200_0.9_2.clq;WMCP;HC_Hybrid_Weight_Steepest;4684;3.5277;OK
san/san200_0.9_3.clq;MCP;HC_Hybrid_Steepest;33;4.8419;OK
san/san200_0.9_3.clq;WMCP;HC_Hybrid_Weight_Steepest;4444;6.5633;OK
san/san400_0.5_1.clq;MCP;HC_Hybrid_Steepest;8;4.3993;OK
san/san400_0.5_1.clq;WMCP;HC_Hybrid_Weight_Steepest;1368;1.0127;OK
san/san400_0.7_1.clq;MCP;HC_Hybrid_Steepest;21;8.4363;OK
san/san400_0.7_1.clq;WMCP;HC_Hybrid_Weight_Steepest;3602;11.4541;OK
san/san400_0.7_2.clq;MCP;HC_Hybrid_Steepest;17;7.5509;OK
san/san400_0.7_2.clq;WMCP;HC_Hybrid_Weight_Steepest;2715;0.6986;OK
san/san400_0.7_3.clq;MCP;HC_Hybrid_Steepest;15;6.8448;OK
san/san400_0.7_3.clq;WMCP;HC_Hybrid_Weight_Steepest;2282;0.588;OK
san/san400_0.9_1.clq;MCP;HC_Hybrid_Steepest;100;46.3186;OK
san/san400_0.9_1.clq;WMCP;HC_Hybrid_Weight_Steepest;7286;24.7232;OK
san/san1000.clq;MCP;HC_Hybrid_Steepest;10;27;OK
san/san1000.clq;WMCP;HC_Hybrid_Weight_Steepest;1569;1.0293;OK
san/sanr200_0.7.clq;MCP;HC_Hybrid_Steepest;15;1.8178;OK
san/sanr200_0.7.clq;WMCP;HC_Hybrid_Weight_Steepest;2031;0.8726;OK
san/sanr200_0.9.clq;MCP;HC_Hybrid_Steepest;37;5.9513;OK
san/sanr200_0.9.clq;WMCP;HC_Hybrid_Weight_Steepest;5090;7.1446;OK
san/sanr400_0.5.clq;MCP;HC_Hybrid_Steepest;11;4.2347;OK
san/sanr400_0.5.clq;WMCP;HC_Hybrid_Weight_Steepest;1416;0.2638;OK
san/sanr400_0.7.clq;MCP;HC_Hybrid_Steepest;19;7.262;OK
san/sanr400_0.7.clq;WMCP;HC_Hybrid_Weight_Steepest;2307;0.5282;OK
